mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4227083683013916,0.0013574496051479232,0.03199667930603027,0.006517892293044022,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.8379120879120879,0.8406593406593407,0.8269230769230769,0.7912087912087912,0.8379120879120879,0.8269230769230769,0.01847003990546333,16,0.8502747252747253,0.8331043956043956,0.8468406593406593,0.8482142857142857,0.8585164835164835,0.8473901098901099,0.008211942405293994
0.4339142322540283,0.027406711646640866,0.030399847030639648,0.0007954857153930557,manhattan,31,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'distance'}",0.8489010989010989,0.8653846153846154,0.8186813186813187,0.771978021978022,0.8489010989010989,0.8307692307692308,0.03304021182059979,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.42191109657287595,0.01298600266573414,0.029200077056884766,0.0004035934608661988,manhattan,34,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.8351648351648352,0.8324175824175825,0.8461538461538461,0.771978021978022,0.804945054945055,0.8181318681318681,0.026771269703472152,20,0.820054945054945,0.8310439560439561,0.8365384615384616,0.845467032967033,0.8372252747252747,0.8340659340659341,0.008384748605512015
0.4175105094909668,0.014436210419655253,0.030004310607910156,0.0006318422776704505,manhattan,34,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 34, 'KNN__weights': 'distance'}",0.8406593406593407,0.8131868131868132,0.8131868131868132,0.75,0.8296703296703297,0.8093406593406594,0.03144854510165756,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4217041492462158,0.01048537991209849,0.033006906509399414,0.006504278457197461,manhattan,37,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.8186813186813187,0.8324175824175825,0.8159340659340659,0.7774725274725275,0.8214285714285714,0.8131868131868132,0.01871361139112791,24,0.8138736263736264,0.8262362637362637,0.8337912087912088,0.8489010989010989,0.8427197802197802,0.8331043956043956,0.012324422008877997
0.4263157844543457,0.014665134265118198,0.030396652221679688,0.000491549577615071,manhattan,37,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 37, 'KNN__weights': 'distance'}",0.8159340659340659,0.8324175824175825,0.8351648351648352,0.7664835164835165,0.8241758241758241,0.8148351648351648,0.02509491702564666,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4265126705169678,0.006439665408774728,0.03120002746582031,0.0019412463229722453,manhattan,40,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'uniform'}",0.7747252747252747,0.8489010989010989,0.8434065934065934,0.739010989010989,0.8241758241758241,0.8060439560439561,0.04251057392062569,28,0.8111263736263736,0.8310439560439561,0.8324175824175825,0.8262362637362637,0.8399725274725275,0.8281593406593407,0.009589840481157737
0.4131021499633789,0.006868733417168153,0.03081026077270508,0.0004017406570802615,manhattan,40,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 40, 'KNN__weights': 'distance'}",0.8324175824175825,0.8324175824175825,0.8186813186813187,0.75,0.8241758241758241,0.8115384615384615,0.031207630376182263,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4191065788269043,0.006729379525687116,0.03300375938415527,0.0050139636113216285,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.804945054945055,0.8296703296703297,0.8021978021978022,0.728021978021978,0.8131868131868132,0.7956043956043956,0.03512188310878439,36,0.8241758241758241,0.8392857142857143,0.8207417582417582,0.820054945054945,0.8351648351648352,0.8278846153846153,0.007862136275414412
0.4217113971710205,0.008380859419275044,0.03079681396484375,0.00040361831611942123,manhattan,43,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'distance'}",0.8379120879120879,0.8351648351648352,0.8159340659340659,0.7637362637362637,0.8186813186813187,0.8142857142857143,0.026726124191242467,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.42411236763000487,0.008509218830049629,0.03120136260986328,0.00040286723934908044,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.8131868131868132,0.7994505494505495,0.8296703296703297,0.7225274725274725,0.7967032967032966,0.7923076923076923,0.03680088362558321,40,0.8083791208791209,0.8282967032967034,0.8262362637362637,0.7953296703296703,0.8145604395604396,0.8145604395604396,0.012108187291779695
0.4201229095458984,0.009145300569865842,0.03139510154724121,0.0004929663894098356,manhattan,46,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'distance'}",0.8351648351648352,0.804945054945055,0.8324175824175825,0.7802197802197802,0.8241758241758241,0.8153846153846154,0.020514455717136785,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.4179112911224365,0.006047698747015039,0.03540582656860351,0.008799219188964195,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.8296703296703297,0.8186813186813187,0.7994505494505495,0.7445054945054945,0.8324175824175825,0.804945054945055,0.032366321923127786,29,0.8145604395604396,0.8145604395604396,0.8262362637362637,0.8145604395604396,0.8303571428571429,0.820054945054945,0.006854381840590475
